ID,Date,Category,Invoice Number,Product Code,Customer Code,Destenation,QTY,Total Price
2529604,2019-04-28,Category5,267,30011006,612,IRQ,750,3334.8225
2529605,2019-04-29,Category5,302,30011006,514,BHR,400,3032.824
2529606,2019-05-13,Category5,507,30011006,513,BHR,100,749.952
2529607,2019-06-01,Category5,795,30011006,5,SYC,100,556.817
2529608,2019-07-03,Category5,1184,30011006,560,AFG,20,39.446
2529609,2019-07-28,Category5,1554,30011006,603,AZE,3,11.7147
2529610,2019-07-28,Category5,1554,30011006,603,AZE,3,11.7147
2529611,2019-10-02,Category5,2521,30011006,589,PAK,180,801.09
2529612,2019-10-02,Category5,2521,30011006,589,PAK,180,801.09
2529613,2019-10-12,Category5,2653,30011006,5,SYC,100,424.874
2529614,2019-10-12,Category5,2653,30011006,5,SYC,100,424.874
2529615,2019-11-09,Category5,3019,30011006,10,UAE,20,87.84898
2529616,2019-11-09,Category5,3019,30011006,10,UAE,20,87.84898
2529617,2019-12-10,Category5,3526,30011006,8,IRQ,100,451.328
2529618,2019-12-10,Category5,3526,30011006,8,IRQ,100,451.328
2529619,2019-12-16,Category5,3624,30011006,7,IRQ,500,2166.67
2529620,2019-12-16,Category5,3624,30011006,7,IRQ,500,2166.67
2529621,2019-12-21,Category5,3696,30011006,11,QAT,100,500.00044
2529622,2019-12-21,Category5,3696,30011006,11,QAT,100,500.00044
2529623,2019-12-28,Category5,3791,30011006,514,BHR,800,4877.28
2529624,2019-12-28,Category5,3791,30011006,514,BHR,800,4877.28
2529625,2020-01-15,Category5,4042,30011006,7,IRQ,750,3375.9225
2529626,2020-01-15,Category5,4042,30011006,7,IRQ,750,3375.9225
2529627,2019-12-05,Category5,3437,30011006,14,IRQ,5,21.00964
2529628,2019-12-05,Category5,3437,30011006,14,IRQ,5,21.00964
2529629,2020-02-09,Category5,4379,30011006,7,IRQ,750,3918.375
2529630,2020-02-09,Category5,4379,30011006,7,IRQ,750,3918.375
2529631,2020-02-27,Category5,4675,30011006,7,IRQ,500,3017.635
2529632,2020-02-27,Category5,4675,30011006,7,IRQ,500,3017.635
2529633,2020-02-29,Category5,4688,30011006,5,SYC,50,280.8935
2529634,2020-02-29,Category5,4688,30011006,5,SYC,50,280.8935
2529635,2020-04-27,Category5,292,30011006,7,IRQ,1300,7848.36
2529636,2020-04-27,Category5,292,30011006,7,IRQ,1300,7848.36
2529637,2020-05-14,Category5,545,30011006,514,BHR,200,1509.728
2529638,2020-05-14,Category5,545,30011006,514,BHR,200,1509.728
2529639,2020-08-06,Category5,1525,30011006,513,BHR,250,2646
2529640,2020-09-15,Category5,2156,30011006,7,IRQ,600,5477.598
2529641,2020-09-15,Category5,2159,30011006,7,IRQ,350,3195.2655
2529642,2020-10-07,Category5,3321,30011006,7,IRQ,340,3842.136
2529643,2020-10-07,Category5,3323,30011006,7,IRQ,450,5085.18
2529644,2020-10-26,Category5,3695,30011006,19,IRQ,100,1066.185
2529645,2020-10-27,Category5,3725,30011006,8,IRQ,250,2665.4625
2529646,2020-10-28,Category5,3750,30011006,7,IRQ,300,3411.018
2529647,2020-11-26,Category5,4395,30011006,513,BHR,300,3523.767
2529648,2020-11-28,Category5,4404,30011006,7,IRQ,600,5798.034
2529649,2020-12-07,Category5,4640,30011006,7,IRQ,100,994.59
2529650,2020-07-29,Category5,1441,30011006,7,IRQ,550,4363.425
2529651,2020-08-05,Category5,1521,30011006,514,BHR,500,4968.595
2529652,2020-10-06,Category5,3295,30011006,18,RUS,14,152.7876
2529653,2021-08-24,Category6,2810,30002031,37,DEU,10,470.75378
2529654,2020-04-27,Category6,293,30002031,7,IRQ,5,141.648
2529655,2020-04-27,Category6,293,30002031,7,IRQ,5,141.648
2529656,2020-02-27,Category6,4665,30002031,8,IRQ,2,53.23194
2529657,2020-02-27,Category6,4665,30002031,8,IRQ,2,53.23194
2529658,2019-07-29,Category6,1562,30002031,6,LKA,20,479.3552
2529659,2019-07-29,Category6,1562,30002031,6,LKA,20,479.3552
2529660,2019-10-12,Category6,2653,30002033,5,SYC,15,302.11485
2529661,2019-10-12,Category6,2653,30002033,5,SYC,15,302.11485
2529662,2019-12-10,Category6,3524,30002033,8,IRQ,1,21.17857
2529663,2019-12-10,Category6,3524,30002033,8,IRQ,1,21.17857
2529664,2020-02-27,Category6,4665,30002033,8,IRQ,2,53.23194
2529665,2020-02-27,Category6,4665,30002033,8,IRQ,2,53.23194
2529666,2021-08-24,Category6,2810,30002033,37,DEU,10,470.75378
2529667,2021-08-24,Category6,2810,30002036,37,DEU,10,470.75378
2529668,2020-02-27,Category6,4665,30002036,8,IRQ,6,159.69582
2529669,2020-02-27,Category6,4665,30002036,8,IRQ,6,159.69582
2529670,2020-02-27,Category6,4675,30002036,7,IRQ,10,283.2052
2529671,2020-02-27,Category6,4675,30002036,7,IRQ,10,283.2052
2529672,2020-04-27,Category6,293,30002036,7,IRQ,5,141.648
2529673,2020-04-27,Category6,293,30002036,7,IRQ,5,141.648
2529674,2019-12-10,Category6,3524,30002036,8,IRQ,3,63.53571
2529675,2019-12-10,Category6,3524,30002036,8,IRQ,3,63.53571
2529676,2019-12-16,Category6,3624,30002036,7,IRQ,16,325.3472
2529677,2019-12-16,Category6,3624,30002036,7,IRQ,16,325.3472
2529678,2019-12-16,Category6,3624,30002037,7,IRQ,11,223.6762
2529679,2019-12-16,Category6,3624,30002037,7,IRQ,11,223.6762
2529680,2019-12-10,Category6,3524,30002037,8,IRQ,1,21.17857
2529681,2019-12-10,Category6,3524,30002037,8,IRQ,1,21.17857
2529682,2019-07-29,Category6,1562,30002037,6,LKA,15,359.5164
2529683,2019-07-29,Category6,1562,30002037,6,LKA,15,359.5164
2529684,2020-02-27,Category6,4675,30002037,7,IRQ,10,283.2052
2529685,2020-02-27,Category6,4675,30002037,7,IRQ,10,283.2052
2529686,2020-02-27,Category6,4665,30002037,8,IRQ,2,53.23194
2529687,2020-02-27,Category6,4665,30002037,8,IRQ,2,53.23194
2529688,2021-08-24,Category6,2810,30002037,37,DEU,10,470.75378
2529689,2021-08-24,Category6,2810,30002038,37,DEU,10,470.75378
2529690,2019-07-29,Category6,1562,30002038,6,LKA,10,239.6776
2529691,2019-07-29,Category6,1562,30002038,6,LKA,10,239.6776
2529692,2019-07-29,Category6,1562,30002039,6,LKA,5,119.8388
2529693,2019-07-29,Category6,1562,30002039,6,LKA,5,119.8388
2529694,2019-12-16,Category6,3624,30002039,7,IRQ,10,203.342
2529695,2019-12-16,Category6,3624,30002039,7,IRQ,10,203.342
2529696,2020-02-27,Category6,4675,30002039,7,IRQ,9,254.88468
2529697,2020-02-27,Category6,4675,30002039,7,IRQ,9,254.88468
2529698,2020-02-27,Category6,4675,30002040,7,IRQ,9,254.88468
2529699,2020-02-27,Category6,4675,30002040,7,IRQ,9,254.88468
2529700,2020-04-27,Category6,293,30002040,7,IRQ,5,141.648
2529701,2020-04-27,Category6,293,30002040,7,IRQ,5,141.648
2529702,2021-08-24,Category6,2810,30002040,37,DEU,10,470.75378
2529703,2019-12-16,Category6,3624,30002040,7,IRQ,12,244.0104
2529704,2019-12-16,Category6,3624,30002040,7,IRQ,12,244.0104
2529705,2019-07-29,Category6,1562,30002040,6,LKA,5,119.8388
2529706,2019-07-29,Category6,1562,30002040,6,LKA,5,119.8388
2529707,2019-07-29,Category6,1562,30002045,6,LKA,10,239.6776
2529708,2019-07-29,Category6,1562,30002045,6,LKA,10,239.6776
2529709,2019-06-01,Category6,795,30002045,5,SYC,50,1312.4985
2529710,2019-10-12,Category6,2653,30002045,5,SYC,15,302.11485
2529711,2019-10-12,Category6,2653,30002045,5,SYC,15,302.11485
2529712,2021-08-24,Category6,2810,30002045,37,DEU,10,470.75378
2529713,2020-04-27,Category6,293,30002045,7,IRQ,5,141.648
2529714,2020-04-27,Category6,293,30002045,7,IRQ,5,141.648
2529715,2020-04-27,Category4,292,30001036,7,IRQ,40,177.216
2529716,2020-04-27,Category4,292,30001036,7,IRQ,40,177.216
2529717,2020-12-02,Category4,4539,30001036,22,PAK,17,125.32914
2529718,2020-12-02,Category4,4539,30001039,22,PAK,17,125.32914
2529719,2020-04-27,Category4,292,30001039,7,IRQ,195,863.928
2529720,2020-04-27,Category4,292,30001039,7,IRQ,195,863.928
2529721,2020-02-27,Category4,4674,30001039,7,IRQ,150,664.347
2529722,2020-02-27,Category4,4674,30001039,7,IRQ,150,664.347
2529723,2020-02-27,Category4,4664,30001039,8,IRQ,2,8.32482
2529724,2020-02-27,Category4,4664,30001039,8,IRQ,2,8.32482
2529725,2019-10-02,Category4,2521,30001039,589,PAK,80,261.28
2529726,2019-10-02,Category4,2521,30001039,589,PAK,80,261.28
2529727,2019-11-09,Category4,3018,30001039,10,UAE,10,32.23403
2529728,2019-11-09,Category4,3018,30001039,10,UAE,10,32.23403
2529729,2019-05-12,Category4,474,30001039,596,KEN,25,99.755
2529730,2019-04-29,Category4,302,30001039,514,BHR,850,5006.194
2529731,2019-12-28,Category4,3791,30001039,514,BHR,200,947.15
2529732,2019-12-28,Category4,3791,30001039,514,BHR,200,947.15
2529733,2019-12-10,Category4,3525,30001039,8,IRQ,10,33.1207
2529734,2019-12-10,Category4,3525,30001039,8,IRQ,10,33.1207
2529735,2020-02-09,Category4,4375,30001039,7,IRQ,70,268.38
2529736,2020-02-09,Category4,4375,30001039,7,IRQ,70,268.38
2529737,2020-01-15,Category4,4042,30001039,7,IRQ,56,184.98088
2529738,2020-01-15,Category4,4042,30001039,7,IRQ,56,184.98088
2529739,2020-01-15,Category4,4042,30001040,7,IRQ,55,181.67765
2529740,2020-01-15,Category4,4042,30001040,7,IRQ,55,181.67765
2529741,2019-12-10,Category4,3526,30001040,8,IRQ,10,33.1207
2529742,2019-12-10,Category4,3526,30001040,8,IRQ,10,33.1207
2529743,2019-12-16,Category4,3624,30001040,7,IRQ,54,171.72108
2529744,2019-12-16,Category4,3624,30001040,7,IRQ,54,171.72108
2529745,2019-04-29,Category4,302,30001040,514,BHR,600,3533.784
2529746,2019-05-12,Category4,474,30001040,596,KEN,15,79.80405
2529747,2019-11-09,Category4,3019,30001040,10,UAE,10,32.23403
2529748,2019-11-09,Category4,3019,30001040,10,UAE,10,32.23403
2529749,2019-10-02,Category4,2521,30001040,589,PAK,80,261.28
2529750,2019-10-02,Category4,2521,30001040,589,PAK,80,261.28
2529751,2020-02-27,Category4,4664,30001040,8,IRQ,2,8.32482
2529752,2020-02-27,Category4,4664,30001040,8,IRQ,2,8.32482
